0
//Class		Map	BuffIndex	BuffTime	WCoinC		WCoinP		GoblinPoint		RuudMoney
787		122	    *		*		0		0		0			50
788		122	    *		*		0		0		0			50
605		123	    *		*		0		0		0			75
606		123	    *		*		0		0		0			75
607		123	    *		*		0		0		0			75
605		124	    *		*		0		0		0			75
606		124	    *		*		0		0		0			75
607		124	    *		*		0		0		0			75
605		125	    *		*		0		0		0			75
606		125	    *		*		0		0		0			75
607		125	    *		*		0		0		0			75
605		126	    *		*		0		0		0			75
606		126	    *		*		0		0		0			75
607		126	    *		*		0		0		0			75
605		127	    *		*		0		0		0			75
606		127	    *		*		0		0		0			75
607		127	    *		*		0		0		0			75
845		131	    *		*		0		0		0			100
846		131	    *		*		0		0		0			100
847		131	    *		*		0		0		0			100
859		132	    *		*		0		0		0			125
860		132	    *		*		0		0		0			125
861		132	    *		*		0		0		0			125
862		132	    *		*		0		0		0			125
863		132	    *		*		0		0		0			125
2		133	    *		*		0		0		0			150
875		134	    *		*		0		0		0			200
876		134	    *		*		0		0		0			200
877		134	    *		*		0		0		0			200
end
